route_id,service_id,trip_id,trip_headsign,direction_id,block_id
401-270,JAN18-1930SuMR-Sunday-01,47931526-JAN18-1930SuMR-Sunday-01,"Canadian Tire Centre",0,5537100
402-270,JAN18-1930SuMR-Sunday-01,47931529-JAN18-1930SuMR-Sunday-01,"Canadian Tire Centre",0,5537099
403-270,JAN18-1930SuMR-Sunday-01,47931532-JAN18-1930SuMR-Sunday-01,"Canadian Tire Centre",0,5537104
404-270,JAN18-1930SuMR-Sunday-01,47931535-JAN18-1930SuMR-Sunday-01,"Canadian Tire Centre",0,5537103
404-270,JAN18-1930SuMR-Sunday-01,47931537-JAN18-1930SuMR-Sunday-01,"Canadian Tire Centre",0,5537103
405-270,JAN18-1930SuMR-Sunday-01,47931540-JAN18-1930SuMR-Sunday-01,"Canadian Tire Centre",0,5537102
406-270,JAN18-1930SuMR-Sunday-01,47931543-JAN18-1930SuMR-Sunday-01,"Canadian Tire Centre",0,5537101
403-273,JAN18-1930SupP-Weekday-01,47931432-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537079
401-273,JAN18-1930SupP-Weekday-01,47931433-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537092
402-273,JAN18-1930SupP-Weekday-01,47931434-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537075
402-273,JAN18-1930SupP-Weekday-01,47931435-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537076
403-273,JAN18-1930SupP-Weekday-01,47931436-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537077
401-273,JAN18-1930SupP-Weekday-01,47931437-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537091
403-273,JAN18-1930SupP-Weekday-01,47931438-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537078
403-273,JAN18-1930SupP-Weekday-01,47931439-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537081
403-273,JAN18-1930SupP-Weekday-01,47931440-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537083
403-273,JAN18-1930SupP-Weekday-01,47931441-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537080
403-273,JAN18-1930SupP-Weekday-01,47931442-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537082
405-273,JAN18-1930SupP-Weekday-01,47931443-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537087
405-273,JAN18-1930SupP-Weekday-01,47931444-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537088
405-273,JAN18-1930SupP-Weekday-01,47931445-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537089
406-273,JAN18-1930SupP-Weekday-01,47931446-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537090
405-273,JAN18-1930SupP-Weekday-01,47931447-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537086
404-273,JAN18-1930SupP-Weekday-01,47931448-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537085
404-273,JAN18-1930SupP-Weekday-01,47931449-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537085
404-273,JAN18-1930SupP-Weekday-01,47931450-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537094
404-273,JAN18-1930SupP-Weekday-01,47931451-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537084
404-273,JAN18-1930SupP-Weekday-01,47931452-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537084
404-273,JAN18-1930SupP-Weekday-01,47931454-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537093
404-273,JAN18-1930SupP-Weekday-01,47931456-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537084
404-273,JAN18-1930SupP-Weekday-01,47931457-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537093
404-273,JAN18-1930SupP-Weekday-01,47931458-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537094
301-273,JAN18-301Shop-Weekday-01,47716238-JAN18-301Shop-Weekday-01,"Bayshore Carlingwd",0,5514700
301-273,JAN18-301Shop-Weekday-01,47716242-JAN18-301Shop-Weekday-01,"Richmond Stittsville",1,5514700
302-273,JAN18-302Shop-Weekday-01,47716232-JAN18-302Shop-Weekday-01,"St Laurent Pl Orlns",0,5514699
302-273,JAN18-302Shop-Weekday-01,47716236-JAN18-302Shop-Weekday-01,"Cumberland",1,5514699
303-273,JAN18-303Shop-Weekday-01,47716225-JAN18-303Shop-Weekday-01,"Carlingwd Bayshore",0,5514698
303-273,JAN18-303Shop-Weekday-01,47716229-JAN18-303Shop-Weekday-01,"Dunrobin Carp",1,5514698
304-273,JAN18-304Shop-Weekday-01,47716246-JAN18-304Shop-Weekday-01,"Billings Brdg S. Keys",0,5514701
304-273,JAN18-304Shop-Weekday-01,47716250-JAN18-304Shop-Weekday-01,"Greely Metcalfe",1,5514701
305-273,JAN18-305Shop-Weekday-01,47716218-JAN18-305Shop-Weekday-01,"Carlingwood",0,5514697
305-273,JAN18-305Shop-Weekday-01,47716222-JAN18-305Shop-Weekday-01,"North Gower",1,5514697
95-273,JAN18-JANDA18-Weekday-31,50075587-JAN18-JANDA18-Weekday-31,"Orléans",0,5756706
95-273,JAN18-JANDA18-Weekday-31,50075588-JAN18-JANDA18-Weekday-31,"Barrhaven Centre",1,5756244
